Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.58679395,,,,,60.80927575,,,,78.65059429,,,,,,
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.259607358,1.409107248,1.578412105,1.742022815,1.872957768,2.033318249,2.156939951,2.291483953,2.448974494,2.580424031,2.755759213,2.906959533,3.220492339,3.363994829,3.47373291,3.557348719,3.66226148,3.860538125,4.084160866,4.404396515,4.620476847,4.776628494,5.107816696,5.29573822,5.571891308,5.825255871,6.15909338,6.426701069,6.524324019,6.698307691,6.967551787
Gross savings (current US$),NY.GNS.ICTR.CD,1854999259,1986599206,2195199123,2648798942,2776198891,3096798763,3418798634,4094998364,4180398330,4678798130,4738998106,4932787371,5473905481,8732723946,11750163823,10004454136,9272449992,10473049991,12525799990,16455577240,26851350937,23838772999,19139922841,20534570352,17089145544,13175081263,14287720860,17375608229,18660471761,20116918103,18628221255,20424314502,21466464257,23283824172,23596953437,28719148912,25575350813,25130373412,22596631366,21838825686,22925584274,19989233646,23166513251,36223364292,43439139631,51124237718,55018964281,56646254123,51604298783,57302617535,71546422473,73779877018,58632680147,55473979912,52154765629,49541278523,46233602593,54332449985,54917781296,52238249773,49139198679
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,8261266743,9040337532,9919090545,10890246547,11827410529,13208300006,14441938860,15975758183,17724188031,19737538526,21333875275,26561950628,34455314953,40671391292,40333782513,39743544257,43725680359,53870373377,71446803915,84522525054,83631261889,78186674305,78432706521,69725531769,66586768393,75787333049,93591237327,1.01829E+11,1.05184E+11,1.12975E+11,1.2555E+11,1.38127E+11,1.51645E+11,1.66097E+11,1.71035E+11,1.71441E+11,1.56902E+11,1.54202E+11,1.53695E+11,1.45475E+11,1.37906E+11,1.53184E+11,1.9771E+11,2.68529E+11,3.06083E+11,3.25533E+11,3.31753E+11,3.28521E+11,3.52432E+11,4.03731E+11,4.42089E+11,4.33471E+11,4.01843E+11,3.65988E+11,3.36464E+11,3.3718E+11,3.6634E+11,3.90323E+11,3.56586E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60126E+11,2.66185E+11,2.66433E+11,2.76113E+11,2.91033E+11,3.06347E+11,3.2537E+11,3.39799E+11,3.45342E+11,3.58736E+11,3.82159E+11,4.01086E+11,4.22507E+11,4.43044E+11,4.75694E+11,5.16396E+11,5.61837E+11,6.07856E+11,6.39453E+11,6.34418E+11,6.6132E+11,6.96526E+11,6.98221E+11,7.30518E+11,7.41916E+11,7.58901E+11,7.72769E+11,7.90171E+11,8.21179E+11,8.36784E+11,7.92398E+11
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,0.646383323,0.6551214,0.65763162,0.679166131,0.692680724,0.713143378,0.744322659,0.774292129,0.803697807,0.864676997,0.90175148,0.955917183,1.061594812,1.257073032,1.457391366,1.615081467,1.783696956,1.982822331,2.213063425,2.54648609,3.180022101,3.502283901,3.992076164,4.651656507,5.185553058,6.057513289,7.096517303,8.124021975,9.354752127,10.96606342,12.66329469,14.64534144,16.77884059,20.77590029,22.81447049,25.28717569,27.31573517,29.5385348,31.92398959,34.12318027,37.256436,40.16261496,45.19818672,48.08895589,50.99457312,53.84874436,57.11447525,61.82400052,66.67738965,72.45367981,76.89395462,81.15315416,84.95534692,89.92023204,94.74584282,100.0000002,106.9521721,112.8060089,117.269149,122.5456142,129.0077259
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,2656996795,2528974676,2835827706,5303521163,7481245853,4967283239,3908572009,4271436404,5192613651,7452897706,15242989240,11401305344,6729948492,6239677273,4836085856,3307247426,2216258450,2036753115,2756092799,3753550033,12622557.14,1363980304,1540512612,3250447297,3060723383,5112582074,3524969469,2382775030,1587508444,1644471681,2810954026,1828955800,5015979281,7551709607,9423309096,9411558209,13349292837,12440513870,11810975360,11084725711,18109987119,19342279038,7786334979,6303389269,6516551320,8379626899,6975899823,8452501198,3692018079,3174940711,
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,894799785.4,991722186.2,1040962102,1429808871,1792051155,1843328277,1769030485,1961158914,2257146815,2787298129,4014424485,4126320216,3794713892,4236369843,3747103243,2848074505,3254473934,4016472062,4416210920,4400424375,5341680000,6398955000,8467284428,7503822000,7553205000,9779419385,7947225000,9858156000,8192646626,7872016000,6992370000,6041960100,5781150900,8327573600,11191522100,12590983800,13325150000,14105857600,13530223600,15072998900,20387647500,23899794100,24098312500,21191555377,20389997700,18205973575,16671346804,20308846488,21560658074,21903951425,
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,4.786935224,7.32293655,7.522622275,10.11052421,5.488817582,4.269526095,2.165239381,4.52568116,5.052268396,5.266436242,0.972619348,-0.452836374,3.155251377,-0.469316817,-0.369685767,4.212025966,-0.583328506,2.853347162,5.002077196,4.046765663,3.812282755,-1.244574239,-3.237896455,4.004690492,-2.142865519,-1.900465658,-1.224566725,2.203349105,0.928306075,-1.36868987,-3.097323623,-0.780085159,0.690131006,2.367368924,2.637065027,1.933483557,2.625560324,-1.456770429,-0.284382116,4.585333594,1.555533297,2.637079095,1.106159193,4.573670753,5.250734807,4.662052378,4.717640876,0.70807334,-6.010370829,4.594519821,1.664303108,0.797301386,1.922258123,-0.60603096,0.507676136,-0.685526883,-0.418446411,0.844998733,-1.663610522,-12.59104196
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,2406667295,2496074669,2637619373,2723157180,2411249677,2438031157,2629880238,3287503044,2894029132,3031704269,2830079439,3361126656,3339640374,2916839214,3802868330,3476602696,3392490519,3791157797,3943089235,3857653259,4242573390,4487883600,4108869651,3175896572,3538006621,4257542506,4538086147,4653562186,4784109172,5487453972,5095914844,5323506509,3872316883,4799061201,5178187040,4147727819,5143182491,5189471132,4914429166,5219123773,5464422586,5284096648,5627562923,5665890544,5714585477,5875153077,5554206377,5719675181,6829950388,6700708490,6680583489,6813796337,6933950634,7244584648,8037807443,7745421796,7346426997,8748151659,8783311902,8234244117,9339987112
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,1.09159E+11,1.10635E+11,1.06462E+11,1.35308E+11,1.59216E+11,1.80852E+11,1.68407E+11,2.02163E+11,1.95433E+11,2.19104E+11,2.57281E+11,2.83821E+11,2.49208E+11,2.83845E+11,3.30599E+11,3.36366E+11,2.98774E+11,2.82466E+11,2.74957E+11,3.01915E+11,3.99184E+11,4.39215E+11,3.48182E+11,3.60921E+11,3.61494E+11,2.94442E+11,2.57033E+11,2.46939E+11,3.01021E+11,3.09535E+11,2.73012E+11,2.72104E+11,2.55313E+11,2.54734E+11,3.0816E+11,3.52009E+11,3.55626E+11,3.66098E+11,3.78326E+11,3.66485E+11,3.79359E+11,3.81174E+11,4.15083E+11,4.62573E+11,5.36477E+11,5.71257E+11,6.44191E+11,6.99781E+11,7.6135E+11,6.97231E+11,7.02558E+11,7.84985E+11,7.79368E+11,8.18371E+11,7.92013E+11,8.23735E+11,7.54659E+11,7.7712E+11,7.71707E+11,7.68558E+11,5.7849E+11
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.5509148,29.32396839,29.40691928,28.6138761,27.43589744,25.70405138,25.28045326,24.57067371,25.24673372,23.00183547,21.19945272,21.27484013,24.63150201,24.6237088,27.16113555,26.8431136,26.88428791,29.30775977,31.38547843,34.16634047,34.34115244,27.47056392,25.61859242,23.95625834,24.68800393,30.44214587,29.60159182,29.30869085,28.18824204,25.86726011,23.49492091,21.0980438,20.70373681,19.91436663,19.54933781,20.03786061,21.77474322,21.66059186,22.51927182,22.26921597,24.40430331,26.35666063,28.43116722,23.91527336,22.75751879,23.59976449,26.09824988,27.95896439,32.25467367,24.98274649,25.78341763,27.69814847,27.13914919,28.37928032,29.0006193,27.71363841,28.15608817,27.34007578,27.48858813,27.34218049,27.77801144
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3851000000,4012000000,4278000000,4613000000,5170000000,5602000000,6089000000,6614000000,7318000000,8237000000,9302000000,10544000000,11662000000,13589000000,16178000000,19686000000,22480000000,24733000000,28059000000,32736000000,41239000000,51025000000,60996000000,70548000000,84112000000,96193000000,1.14826E+11,1.38037E+11,1.66197E+11,1.97571E+11,2.38903E+11,2.75566E+11,3.13058E+11,3.94111E+11,4.50543E+11,5.05965E+11,5.7523E+11,6.44663E+11,6.99213E+11,7.67005E+11,8.65585E+11,9.55316E+11,1.08122E+12,1.17398E+12,1.33309E+12,1.46486E+12,1.63426E+12,1.86217E+12,2.09217E+12,2.22976E+12,2.4556E+12,2.69916E+12,2.96445E+12,3.20894E+12,3.43154E+12,3.6545E+12,3.93085E+12,4.17656E+12,4.44628E+12,4.67577E+12,4.57718E+12
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99850,99773,103866,102777,,100434,106654,105719,105724,106549,108513,,106014,113342,,,,,,,,,,,,
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,1200000000,,7000000,9900000,,,,6000000,,5648610000,3941690000,87000000,3906440000,779400000,,4313240000,,
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,8,6,6,6,6,6,6,7,7,7,7,7,7,
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.5,667.5,667.5,667.5,676,676,
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,,,,,,,,,,,,,15.4
Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,
Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,2914000000,3482000000,4512000000,5590000000,6630000000,7431000000,8540000000,10227000000,12302000000,15319000000,19349000000,24060000000,28315000000,34519000000,42308000000,49980000000,60729000000,70834000000,82849000000,93093000000,1.17029E+11,1.40227E+11,1.4069E+11,1.62526E+11,1.89617E+11,2.00972E+11,2.1716E+11,2.34231E+11,2.57343E+11,2.83805E+11,3.22214E+11,3.69179E+11,4.23057E+11,4.70304E+11,5.31719E+11,6.12019E+11,7.09766E+11,8.08587E+11,8.73417E+11,9.77247E+11,1.07643E+12,1.22844E+12,1.30605E+12,1.45259E+12,1.50747E+12,1.66696E+12,1.8391E+12,1.93488E+12,
Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,93000000,125000000,134000000,127000000,130000000,150000000,172000000,220000000,268000000,291000000,341000000,424000000,479000000,556000000,590000000,673000000,631000000,833000000,802000000,834000000,1200000000,1405000000,1588000000,1873000000,1498000000,1816100000,1755400000,1938400000,3293800000,4986000000,5808000000,5683700000,6012000000,6483000000,7346000000,7820000000,8754000000,15856000000,9519015101,17996500328,20041389340,22975221112,15671938733,17336778234,17226603366,19012658876,20104164549,21116421032,
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,,,,,,,,,,,,,-0.371543428,1.234628628,0.083966413,-1.160150429,-2.428602846,-1.932162155,-1.117043525,-0.875584581,1.377112088,-1.10410305,-2.070390943,-4.223226204,-3.403035827,-2.98383912,-5.041188938,-5.455281442,-4.686640694,-0.647605554,-3.438795067,-3.499831992,-8.491020867,-8.078679346,-4.841195504,-4.804296056,-4.666111628,-3.361958006,-2.647288185,-1.592832723,-1.716840473,-0.801927664,-1.39209881,-2.264563686,-1.68236664,-0.161839835,0.781786918,0.924679916,-0.589095513,-4.412345088,-3.565099182,-4.143285982,-4.668189249,-5.155968077,-3.511479208,-4.396612747,-3.436745746,-4.655425939,-6.130600416,-5.24634328,
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3800354,,,70.26760864,,,68.39532471,,,
Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,8.892920057,7.290392782,13.57924969,11.71394706,9.416865902,8.433158572,17.69310567,22.70413203,16.6594421,19.43818276,8.823389983,10.04541346,15.99998021,16.89082835,22.85075139,17.20487282,13.50915699,13.82741189,19.8047439,14.62100187,8.794470708,19.52326588,27.01572262,20.56956168,11.85418129,17.11123274,2.861210744,6.309784923,18.31602921,16.03137115,14.27893998,17.81320821,13.65295031,10.90725175,7.21505698,20.18987632,18.28619072,13.35060168,13.15299783,20.6974499,22.62300989,23.9311377,14.7382135,1.761085955,6.934029883,8.341284534,5.171730257,5.916590728,7.279487973,10.32364558,6.079448927,6.425536378,5.599615663,6.110245232,9.427326461
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.21953112,,,,,65.01166589,,,,,61.48434588,,,,,61.99447239,,,,,62.43510805,,,,,58.77192982,,,
"Mammal species, threatened",EN.MAM.THRD.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34088775,,,,,13.89945246,,,,,16.97412575,,,,,15.55482061,,,,,20.04901922,18.1639891,18.85184427,16.88297991,16.43922042,12.82809501,6.158418594,6.23623457,,,
Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.664046588,1.330045926,-0.389824512,1.85324768,6.342518907,9.871440829,15.41473179,31.12636622,23.38240718,20.41246917,19.13770214,24.30371891,30.67912652,35.36972534,42.70046653,37.4719295,43.79363581,,,,,,,,,,,,,
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,2004.341886,1984.178909,2056.77401,2077.144279,2142.134346,2161.065864,2152.2248,2218.84312,2234.702509,2289.557878,2451.915354,2594.193526,2569.610298,2713.65621,2643.912079,2686.258425,2718.501141,2763.773413,2585.623273,2471.598122,2518.117842,2290.666487,2395.381195,2420.083112,2498.893625,2504.903115,2527.940174,2471.477036,2464.32336,2424.881292,2461.026477,2384.137081,2518.332793,2716.293461,2678.554224,2625.794791,2775.615258,2950.15361,2852.095448,2768.094507,2716.681173,2636.684726,2602.845598,2695.505776,,,,,,
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,,,,,,,,,,7.072666386,6.366141335,6.71843454,6.952700956,7.170133789,7.17634013,7.273134719,8.00984662,7.662566297,7.634081515,7.073977617,7.267334386,7.738478559,6.187342895,6.091212584,4.195116622,5.304816101,4.96624941,5.402907836,6.031381322,6.591116556,7.215888988,7.359786803,7.787515332,6.220702229,7.666319124,7.746661917,8.14667363,8.388300686,8.204987562,7.806487873,6.323090719,8.272936415,10.0049807,8.493937328,8.717924186,8.451823417,8.791909799,9.837327553,9.533680372,8.47458933,8.717091714,8.486840027,8.393761199,,,,,,
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.920355794,2.007989149,2.645703511,3.946574867,2.930350172,2.995173183,2.70738802,3.392548615,4.118633336,2.248128046,1.595146319,1.697978517,2.528108778,1.357427502,2.20594033,1.640405286,1.548189396,1.444111447,2.449717948,3.383850096,2.289694475,6.373555138,4.508872921,3.954913389,7.128873206,6.060680668,8.707732298
"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400000000,-902000000,-1063000000,-1619000000,-163338000,-1395250000,320000000,-377000000,-1526000000,-1491973000,-1116973000,,700000000,1162000000,26000000,1299000000,1130480000,936169000,-121588000,544000000,3225496000,5615820000,1187759000,6532335000,-620613000,-4353952000,-3705903000
"Net official flows from UN agencies, FAO (current US$)",DT.NFL.FAOG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56709.33425,,,,,251219.9879,498934.5968,
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13035024059,14771655821,14334474379,19291392970,14570665566,14602364777,16829233094,17051417222,26744502305,29384686739,31075618256,27761240182,35717764270,46563830688,46386899610,55933290589,83949284869,95792904971,1.17276E+11,1.11547E+11,1.11802E+11,93187832167,1.11776E+11,1.3948E+11,1.34857E+11,1.48348E+11,1.36013E+11
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159999.9964,270000.0107,409999.9964,379999.9952,1019999.981,649999.9762,800000.0119,610000.0143,800000.0119,689999.9976,1460000.038,1240000.01,1490000.01,1409999.967,1379999.995,1110000.014,889999.9857,1029999.971,569999.9928,439999.9976,389999.9857,280000.0012,109999.9994,59999.99866,189999.9976,50000.00075,79999.99821,
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8369999.886,19670000.08,22879999.16,29260000.23,29549999.24,42139999.39,51119998.93,41590000.15,36930000.31,42389999.39,41229999.54,56540000.92,36990001.68,40529998.78,101489997.9,150100006.1,86879997.25,39529998.78,105290000.9,54360000.61,52380001.07,102730003.4,387130004.9,356070007.3,110290000.9,111559997.6,174630004.9,
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,15399993.9,15378211.98,16872322.08,15878270.15,26408124.92,35624969.48,28750000,28750000,43700000.76,51122856.14,67096893.31,86858123.78,80451812.74,73583473.21,64797187.81,38708106.99,35513610.84,45234821.32,49695087.43,88546226.5,135594375.6,129111648.6,119277252.2,101700241.1,98765754.7,82687213.02,74885755.32,175998209.2,258605546.7,306862360.5,324663747.1,281612438.3,268163091.4,390800401.8,468117772.2,613577432.4,691930201,792351190.6,783693527.8,862051631.1,1069571381,1158421806,1084534306,970655337.2,913403103.7,825253479.9,755434048.9,873861160.6,929043381.1,890059293.7,810881604
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,,,,,,,,,,,,,0.173522323,,,,0.089766607,,,,,,,,,0.102924711,0.09107555,0.083561022,0.07274324,0.090848737,0.112277378,0.124267448,0.177456111,0.242938714,0.411396936,0.441670815,1.244852121,1.167746559,1.084628688,1.108997286,0.991962793,2.723365533,2.571795617,2.23557639,2.593443256,2.732391947,3.050441745,2.392667501,2.444324129,2.686690997,2.872475359,3.115360187,3.187725114,3.53642917,3.240769327,3.529939015,3.739043863,3.84575979,3.74002505,4.346256583,8.220567972
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,236599899.3,283822326.7,279514373.8,423839386,566159301.8,666929443.4,576150024.4,629049987.8,696900024.4,805829650.9,1016783813,1049835815,952328369.1,1079986450,934106750.5,721691406.3,843415832.5,1069280151,1070528687,1093382080,1115615401,802710419.6,738430488.6,631943782,571592532.2,566617152.3,518459412.8,581840215.6,616228476.4,641272393.3,614277481.9,520760001.2,505532298.7,705751528.2,934598613.5,1041844333,1055126655,1172716922,1118933009,1143855053,1352799185,1422697865,1319944369,1181980419,1093585876,980097838.5,896798664.3,1033489764,1097843691,1052038113,920781830.1
Surface area (sq. km),AG.SRF.TOTL.K2,,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,,
Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055407331,,,,,,,,,,0.055407331,,,,,,,,,,0.055407331,,,,,,,,,,
"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,64.2,62.8,56.6,52.1,51.4,,,,,,,,,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,3.72325315,2.730067637,2.395553852,2.838687864,9.872883125,10.80376497,6.989171256,6.912418532,7.24835055,6.721868785,6.706591562,6.95045009,6.234398045,5.816209472,5.33515853,3.613612794,2.511932241,2.778419166,2.075118142,2.161093763,2.544330829,5.342599487,5.465850396,5.148827207,4.275137676,4.079008874,3.621838729,4.155552544,2.726631257,5.357099906,5.425482879,6.021327702,9.402927053,9.840921759,11.19543653,11.89032474,12.31824329,13.13981709,12.24487589,14.35745903,17.00336683,11.09647463,12.37678536,12.6636769,11.89557071,12.48516318,13.23192222,13.66425053,15.9322066,18.09905514,24.61383703,23.60632316,26.74408012,27.49826855,29.35538189,27.88223271,27.55537597,25.30517588,25.46754439,25.67556582,
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,7.977387388,6.699165849,7.967747126,7.216195054,6.667027431,5.495691287,2.461761506,2.841851155,2.859790936,3.621864228,4.179244853,,,,,,,,3.752485021,2.847081961,3.520246674,4.356374156,4.046496689,4.480561839,4.49253581,3.811909791,3.948731194,3.288630009,3.813646941,3.477379367,2.859230046,2.671228959,2.320869227,2.123786236,2.173772367,2.250526461,2.060779431,1.942267168,1.784397826,1.948755255,2.049447658,2.302119339,2.465113631,2.368871092,2.322444548,1.883487696,2.006563526
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.861053323,2.073368718,2.166191263,3.95500161,3.107134537,3.340813189,3.703269533,3.74539392,4.102129799,5.007124068,6.152774144,3.811099968,3.495703856,3.478911925,3.566292328,3.172485948,2.767137395,3.258994849,4.165194534,3.363417005,2.963794929,2.817828829,
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,,4.8,5.12,,7.31,,,5.57,2.95,,3,2.67,2.42,2.5,2.48,1.87,2.12,2.07,2.06,1.68,1.9,2.06,1.85,1.76,1.7,1.24,2.02,2.58,2.67,1.91,5.68,2.61
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76,,11.41,12.3,,14.23,,,8.84,7.01,,6.13,6.16,5.97,5.7,5.96,6.48,6.79,6.61,5.99,5.06,5.49,5.7,5.63,5.5,5.36,5.28,5.37,5.25,5.28,5.32,5.29,5.03
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654000000,3137000000,3422000000,3419000000,3407000000,3338000000,3256000000,3695000000,6674000000,7571000000,8629000000,9211000000,10226000000,9178000000,8684000000,10309000000,10706000000,11202000000,10468000000,10484000000,9140000000,8807000000,9706000000,9789000000,9064000000,2716000000
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.85854835,49.82355307,49.79215154,49.76601459,49.74715424,49.73653636,49.73391587,49.73793375,49.74705793,49.75927001,49.77296786,49.78824205,49.80453808,49.81927472,49.82947996,49.83354359,49.82986342,49.81983817,49.80823514,49.80117205,49.80209072,49.81171608,49.82683508,49.84211339,49.85088997,49.84878611,49.8364101,49.81542363,49.78447707,49.74234385,49.6892801,49.62470325,49.55177451,49.47858333,49.41482067,49.3664084,49.33493891,49.31765909,49.31052673,49.30784499,49.30561178,49.3030346,49.30119367,49.3004322,49.30151458,49.30485722,49.30993669,49.3159719,49.3227851,49.33029417,49.33814413,49.34649436,49.35468987,49.36065584,49.36190814,49.35691668,49.34508647,49.32741594,49.30584962,49.28305341,49.26092955
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1.012570185,1.017609544,1.020610864,1.022645979,1.024491262,1.026671896,1.021037871,1.015492487,1.011489425,1.009611744,1.010215402,1.004808573,0.999193463,0.996329489,0.999403077,1.009561191,1.016747308,1.027291583,1.039375799,1.050292192,1.059143492,1.05993176,1.057657272,1.055188826,1.055173415,1.058727787,1.059612242,1.063096681,1.068538573,1.074290198,1.080055805,1.081835063,1.086235872,1.09685154,1.116911049,1.147211045,1.155028354,1.163954069,1.174027686,1.184875355,1.196467229,1.19525441,1.193818771,1.192201424,1.18884964,1.183219253,1.173703658,1.160065539,1.147070973,1.139396667,1.138708675,1.144484583,1.156511723,1.172121828,1.187247089,1.2009436,1.200657795,1.195607465,1.193640603,1.203899526,1.229880382
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,4.393922866,4.373163585,4.351941334,4.328846107,4.302318642,4.271166674,4.219756734,4.167802961,4.121307317,4.087847282,4.070775707,4.051552567,4.047363524,4.052461243,4.059650479,4.064671109,4.048192367,4.03404173,4.019954962,4.002616765,3.980440264,3.949075641,3.911838197,3.876813137,3.855080051,3.851234587,3.840214526,3.850398096,3.869497348,3.879842564,3.873677144,3.85024125,3.812708524,3.780916277,3.781601063,3.827693561,3.901283975,4.012361649,4.143486485,4.269022079,4.373927626,4.429825147,4.468123717,4.497079791,4.527129615,4.563244185,4.600026332,4.637979284,4.676865061,4.71600142,4.754359811,4.813032733,4.877345099,4.947503081,5.021265374,5.094208568,5.14687688,5.206885409,5.271770827,5.337336295,5.401880311
